# z = redshift
# mhat = observed apparent magnitude
#
# z    mhat
#-----------
0.0100 13.721
0.0101 13.849
0.0105 14.101
0.0107 14.059
0.0108 14.396
0.0112 14.170
0.0115 13.999
0.0117 14.182
0.0117 14.387
0.0119 14.355
0.0120 14.326
0.0127 14.388
0.0128 14.428
0.0129 14.091
0.0129 14.536
0.0131 14.603
0.0132 14.684
0.0134 14.621
0.0144 14.894
0.0150 14.967
0.0155 14.604
0.0155 14.816
0.0159 14.822
0.0165 14.995
0.0169 14.927
0.0176 15.102
0.0178 15.005
0.0180 15.388
0.0184 15.642
0.0185 15.295
0.0190 15.286
0.0190 15.345
0.0192 15.540
0.0193 15.331
0.0202 15.429
0.0211 15.383
0.0211 15.400
0.0217 15.635
0.0222 15.473
0.0223 15.595
0.0240 15.848
0.0241 15.968
0.0249 15.643
0.0256 15.655
0.0272 15.801
0.0289 16.209
0.0291 16.338
0.0291 16.325
0.0294 16.547
0.0295 16.440
0.0296 16.429
0.0301 16.284
0.0301 16.511
0.0312 16.384
0.0321 16.341
0.0329 16.839
0.0329 16.419
0.0344 16.748
0.0346 16.639
0.0354 16.694
0.0355 17.013
0.0355 16.602
0.0358 16.898
0.0362 16.700
0.0363 16.815
0.0367 16.619
0.0371 16.507
0.0372 16.675
0.0376 16.722
0.0376 16.694
0.0379 16.957
0.0382 16.977
0.0387 16.751
0.0388 16.854
0.0389 16.968
0.0390 17.083
0.0390 16.913
0.0394 16.967
0.0394 16.972
0.0405 16.791
0.0405 17.048
0.0411 17.027
0.0411 16.949
0.0423 17.256
0.0424 17.277
0.0424 17.095
0.0433 17.091
0.0433 17.077
0.0441 17.101
0.0444 17.138
0.0447 17.208
0.0462 17.095
0.0462 17.185
0.0462 17.266
0.0466 17.566
0.0467 17.339
0.0471 17.182
0.0472 17.026
0.0475 17.280
0.0477 17.720
0.0478 17.399
0.0479 17.462
0.0482 17.419
0.0483 17.371
0.0487 17.277
0.0499 17.583
0.0506 17.340
0.0512 17.525
0.0514 17.425
0.0516 17.015
0.0517 17.677
0.0517 17.520
0.0522 17.541
0.0523 17.488
0.0529 17.470
0.0534 17.401
0.0534 17.612
0.0535 17.626
0.0537 17.655
0.0541 17.539
0.0546 17.734
0.0551 17.614
0.0551 17.480
0.0558 17.684
0.0559 17.751
0.0560 17.701
0.0560 17.540
0.0566 17.840
0.0570 17.737
0.0572 17.505
0.0573 17.956
0.0574 17.591
0.0580 17.787
0.0581 17.831
0.0583 17.855
0.0585 17.681
0.0590 17.881
0.0595 17.684
0.0597 17.877
0.0597 18.078
0.0612 17.719
0.0617 18.113
0.0617 17.648
0.0629 18.072
0.0637 18.124
0.0639 17.876
0.0640 18.197
0.0641 18.208
0.0645 17.879
0.0646 17.996
0.0653 18.257
0.0655 18.011
0.0657 17.918
0.0658 17.983
0.0659 18.069
0.0661 17.971
0.0661 18.245
0.0665 18.361
0.0668 17.951
0.0670 18.057
0.0672 18.256
0.0675 17.819
0.0675 18.238
0.0681 18.423
0.0682 18.146
0.0684 18.466
0.0685 18.276
0.0687 18.182
0.0687 18.301
0.0688 18.108
0.0695 18.056
0.0702 17.926
0.0704 18.250
0.0705 18.390
0.0707 17.759
0.0710 18.272
0.0711 18.145
0.0713 18.649
0.0715 18.462
0.0716 18.241
0.0722 18.285
0.0732 18.246
0.0735 18.456
0.0745 18.328
0.0746 18.438
0.0747 18.328
0.0754 18.187
0.0759 18.467
0.0759 18.514
0.0760 18.407
0.0764 18.672
0.0764 18.414
0.0765 18.268
0.0765 18.460
0.0770 18.509
0.0771 18.236
0.0774 18.375
0.0777 18.309
0.0780 18.409
0.0783 18.165
0.0790 18.379
0.0790 18.551
0.0804 18.588
0.0805 18.323
0.0806 18.855
0.0807 18.408
0.0807 18.492
0.0808 18.692
0.0815 18.575
0.0820 18.431
0.0824 18.601
0.0824 18.519
0.0827 18.315
0.0829 18.569
0.0836 18.399
0.0836 18.229
0.0841 18.881
0.0841 18.597
0.0843 18.867
0.0843 18.339
0.0844 18.899
0.0848 18.907
0.0848 18.599
0.0853 18.786
0.0853 18.706
0.0854 18.488
0.0859 18.676
0.0863 18.778
0.0865 18.715
0.0866 18.728
0.0873 18.549
0.0873 18.679
0.0875 18.635
0.0878 18.674
0.0880 18.837
0.0883 18.931
0.0884 18.969
0.0889 18.920
0.0893 18.882
0.0895 18.750
0.0899 18.587
0.0905 18.954
0.0907 18.588
0.0910 18.954
0.0912 18.640
0.0913 18.853
0.0915 18.890
0.0918 18.877
0.0918 19.090
0.0928 18.705
0.0932 19.020
0.0932 18.662
0.0933 18.866
0.0939 18.846
0.0941 18.890
0.0943 18.810
0.0949 19.042
0.0949 18.899
0.0958 18.815
0.0958 19.047
0.0958 18.597
0.0960 18.947
0.0966 19.062
0.0971 19.161
0.0972 18.948
0.0974 19.157
0.0975 18.935
0.0977 19.102
0.0981 18.908
0.0982 18.845
0.0982 19.029
0.0983 19.074
0.0987 18.777
0.0993 19.076
0.0993 19.090
0.0995 19.056
0.0997 19.083
0.1001 18.805
0.1003 18.951
0.1003 19.038
0.1004 19.045
0.1004 19.040
0.1007 19.088
0.1008 19.186
0.1012 19.112
0.1014 19.162
0.1015 18.800
0.1018 18.965
0.1027 19.417
0.1029 19.354
0.1031 19.122
0.1035 18.983
0.1040 18.945
0.1044 19.169
0.1051 19.252
0.1051 18.995
0.1053 19.287
0.1055 19.217
0.1059 19.244
0.1059 19.456
0.1067 19.266
0.1074 19.303
0.1077 19.523
0.1080 19.543
0.1082 19.275
0.1084 19.236
0.1085 19.140
0.1087 19.374
0.1092 19.215
0.1094 19.224
0.1095 19.418
0.1111 19.003
0.1122 19.561
0.1136 19.226
0.1172 19.684
0.1190 19.511
0.1193 19.575
0.1200 19.652
0.1210 19.588
0.1221 19.493
0.1231 19.481
0.1248 19.445
0.1268 19.796
0.1288 19.568
0.1298 19.616
0.1298 19.680
0.1319 19.830
0.1325 19.515
0.1348 19.888
0.1360 19.833
0.1374 19.921
0.1391 19.848
0.1399 19.929
0.1400 19.930
0.1402 20.051
0.1406 19.483
0.1417 19.945
0.1432 19.962
0.1436 20.315
0.1439 19.837
0.1447 20.094
0.1454 20.015
0.1462 20.071
0.1463 19.841
0.1483 19.837
0.1513 20.195
0.1517 20.024
0.1526 20.121
0.1535 20.192
0.1544 20.051
0.1571 19.880
0.1582 20.224
0.1595 20.200
0.1635 20.094
0.1638 20.282
0.1642 20.252
0.1659 19.973
0.1671 20.085
0.1675 20.173
0.1676 20.290
0.1692 20.283
0.1705 19.929
0.1705 20.423
0.1708 20.057
0.1709 20.109
0.1732 20.280
0.1736 20.453
0.1737 20.599
0.1740 20.454
0.1751 20.220
0.1754 20.329
0.1788 20.449
0.1789 20.574
0.1806 20.362
0.1807 20.710
0.1812 20.419
0.1827 20.568
0.1856 20.680
0.1860 20.582
0.1865 20.808
0.1900 20.427
0.1908 20.513
0.1910 20.742
0.1933 20.892
0.1934 20.500
0.1943 20.621
0.1953 20.403
0.1965 20.848
0.1972 20.453
0.1978 20.438
0.1983 20.846
0.1989 20.649
0.1995 20.648
0.2009 20.724
0.2015 20.617
0.2024 20.356
0.2028 20.950
0.2029 20.625
0.2032 20.651
0.2048 20.961
0.2050 20.756
0.2053 20.561
0.2053 20.673
0.2055 20.861
0.2074 20.810
0.2077 20.895
0.2104 20.859
0.2117 20.884
0.2118 20.834
0.2127 20.733
0.2133 20.823
0.2173 20.853
0.2180 21.058
0.2191 21.205
0.2199 20.828
0.2211 20.597
0.2219 21.051
0.2223 20.755
0.2224 20.843
0.2230 20.827
0.2248 21.012
0.2258 20.812
0.2262 20.793
0.2303 21.331
0.2339 20.866
0.2343 21.261
0.2378 21.286
0.2384 21.529
0.2384 21.003
0.2432 21.032
0.2450 21.288
0.2495 21.438
0.2508 20.956
0.2518 21.390
0.2543 21.082
0.2545 21.353
0.2546 21.349
0.2554 21.256
0.2579 21.291
0.2582 21.237
0.2611 21.213
0.2615 21.459
0.2637 21.333
0.2673 21.003
0.2677 21.339
0.2681 21.470
0.2690 21.374
0.2712 21.345
0.2722 21.400
0.2724 21.400
0.2738 21.166
0.2770 21.378
0.2775 21.609
0.2780 21.537
0.2790 21.599
0.2791 21.686
0.2803 21.030
0.2808 21.548
0.2817 21.502
0.2834 21.439
0.2835 21.368
0.2850 21.527
0.2853 21.721
0.2894 21.483
0.2895 21.653
0.2929 21.738
0.2942 21.619
0.2952 21.536
0.2962 21.676
0.2971 21.760
0.2985 21.397
0.3015 21.701
0.3028 21.691
0.3054 21.898
0.3055 21.732
0.3062 21.782
0.3067 21.763
0.3134 21.806
0.3139 21.637
0.3143 21.502
0.3144 21.787
0.3161 21.742
0.3173 21.714
0.3176 22.107
0.3191 22.010
0.3196 21.582
0.3203 21.982
0.3213 21.927
0.3224 21.739
0.3224 21.602
0.3227 22.078
0.3230 21.880
0.3242 21.907
0.3247 22.021
0.3269 21.944
0.3275 21.893
0.3290 22.007
0.3313 21.694
0.3340 21.912
0.3342 21.788
0.3343 21.656
0.3353 22.002
0.3355 21.966
0.3369 22.197
0.3389 22.159
0.3390 21.803
0.3413 21.804
0.3484 22.212
0.3488 22.032
0.3500 22.258
0.3519 21.794
0.3525 22.111
0.3552 22.152
0.3555 22.406
0.3560 21.906
0.3573 21.979
0.3597 22.276
0.3599 22.190
0.3608 22.231
0.3623 22.325
0.3633 22.301
0.3645 22.266
0.3646 22.124
0.3664 22.346
0.3672 22.357
0.3689 22.087
0.3712 22.058
0.3714 22.358
0.3727 22.072
0.3729 21.798
0.3811 22.338
0.3819 21.999
0.3823 22.153
0.3847 22.373
0.3867 22.280
0.3892 22.585
0.3898 22.324
0.3899 22.340
0.3913 22.306
0.3940 22.441
0.3967 22.424
0.3979 22.394
0.3995 22.284
0.3997 22.334
0.4006 22.280
0.4021 22.618
0.4030 22.480
0.4036 22.624
0.4038 22.502
0.4048 22.171
0.4077 22.467
0.4077 22.681
0.4078 22.160
0.4081 22.141
0.4086 22.397
0.4098 22.829
0.4101 22.313
0.4101 22.423
0.4142 22.566
0.4153 22.616
0.4191 22.518
0.4232 22.497
0.4232 22.463
0.4233 22.641
0.4246 22.561
0.4250 22.348
0.4260 22.387
0.4270 22.567
0.4329 22.558
0.4349 22.759
0.4366 22.919
0.4372 22.520
0.4378 22.568
0.4381 22.422
0.4382 22.782
0.4383 22.637
0.4387 22.674
0.4393 22.569
0.4397 22.645
0.4403 22.721
0.4406 22.644
0.4408 22.928
0.4410 22.778
0.4413 22.675
0.4415 22.727
0.4416 22.448
0.4421 22.781
0.4430 22.490
0.4439 22.601
0.4459 22.823
0.4514 22.727
0.4522 22.622
0.4545 22.911
0.4604 22.633
0.4606 22.914
0.4606 23.006
0.4612 22.682
0.4625 22.994
0.4636 22.615
0.4637 22.726
0.4640 22.771
0.4656 22.774
0.4680 22.767
0.4714 22.736
0.4720 22.736
0.4734 22.809
0.4762 22.572
0.4766 22.844
0.4776 22.908
0.4781 23.017
0.4847 22.963
0.4868 22.934
0.4877 23.069
0.4907 22.909
0.4909 23.068
0.4916 23.088
0.4918 22.760
0.4923 23.189
0.4923 23.004
0.4928 22.988
0.4942 22.931
0.4964 22.801
0.5012 23.333
0.5025 22.796
0.5028 23.060
0.5039 22.764
0.5050 22.999
0.5100 23.067
0.5104 23.012
0.5105 23.072
0.5116 22.973
0.5148 23.212
0.5175 22.961
0.5176 23.011
0.5210 23.059
0.5214 23.013
0.5244 23.024
0.5269 23.130
0.5287 23.161
0.5312 23.173
0.5324 23.240
0.5350 22.958
0.5374 23.040
0.5405 23.278
0.5414 23.107
0.5419 23.211
0.5429 23.230
0.5436 23.362
0.5472 23.064
0.5492 23.400
0.5500 23.042
0.5512 23.345
0.5526 23.180
0.5528 23.278
0.5547 23.348
0.5556 23.523
0.5559 23.337
0.5575 23.352
0.5580 23.362
0.5582 23.531
0.5598 23.267
0.5599 23.490
0.5599 23.304
0.5613 23.412
0.5631 23.163
0.5638 23.272
0.5642 23.382
0.5644 23.459
0.5648 23.308
0.5659 23.359
0.5662 23.355
0.5663 23.474
0.5678 23.179
0.5709 23.523
0.5725 23.532
0.5747 23.212
0.5770 23.356
0.5788 23.630
0.5790 23.599
0.5793 23.636
0.5815 23.392
0.5816 23.510
0.5832 23.474
0.5836 23.363
0.5854 23.533
0.5863 23.456
0.5864 23.696
0.5891 23.522
0.5895 23.238
0.5898 23.399
0.5905 23.421
0.5913 23.559
0.5926 23.153
0.5935 23.434
0.5942 23.679
0.5966 23.775
0.5993 23.441
0.6026 23.418
0.6026 23.311
0.6026 23.348
0.6040 23.457
0.6064 23.596
0.6069 23.528
0.6072 23.473
0.6074 23.780
0.6102 23.579
0.6111 23.581
0.6111 23.467
0.6123 23.641
0.6128 23.241
0.6141 23.325
0.6143 23.655
0.6175 23.460
0.6179 23.466
0.6179 23.486
0.6205 23.607
0.6205 23.569
0.6211 23.563
0.6221 23.457
0.6229 23.753
0.6231 23.720
0.6237 23.414
0.6239 23.547
0.6264 23.834
0.6267 23.423
0.6280 23.625
0.6290 23.769
0.6301 23.731
0.6329 23.577
0.6334 23.786
0.6351 23.511
0.6364 23.746
0.6370 23.832
0.6377 23.554
0.6381 23.363
0.6383 23.458
0.6387 23.786
0.6391 23.714
0.6416 23.693
0.6421 23.775
0.6442 23.757
0.6475 23.736
0.6486 23.705
0.6489 23.553
0.6491 23.922
0.6492 23.583
0.6509 23.644
0.6513 23.610
0.6523 23.838
0.6534 23.654
0.6535 23.614
0.6553 23.559
0.6563 23.535
0.6577 23.718
0.6618 23.490
0.6636 23.793
0.6663 23.678
0.6679 23.946
0.6684 23.610
0.6713 23.626
0.6718 23.527
0.6759 23.592
0.6770 23.627
0.6791 23.636
0.6804 23.942
0.6805 24.064
0.6814 23.692
0.6821 23.893
0.6844 23.735
0.6910 23.727
0.6930 23.738
0.6940 23.793
0.6941 23.790
0.6945 23.821
0.6947 23.942
0.6961 24.001
0.6963 23.913
0.6986 23.715
0.7009 23.881
0.7030 23.873
0.7050 23.878
0.7067 23.859
0.7078 23.937
0.7085 23.878
0.7123 23.974
0.7138 23.827
0.7157 24.009
0.7158 23.748
0.7175 23.984
0.7179 24.306
0.7189 23.709
0.7199 23.844
0.7237 23.651
0.7245 24.239
0.7253 23.855
0.7253 24.000
0.7322 23.907
0.7339 23.895
0.7352 24.161
0.7359 24.267
0.7361 23.878
0.7369 23.882
0.7381 23.665
0.7383 24.045
0.7407 24.138
0.7411 23.948
0.7416 24.020
0.7425 24.043
0.7425 24.010
0.7427 23.901
0.7443 24.079
0.7457 24.030
0.7463 23.934
0.7473 24.157
0.7493 23.930
0.7496 24.053
0.7524 24.168
0.7568 24.412
0.7571 23.968
0.7586 24.091
0.7595 23.814
0.7597 24.047
0.7609 24.088
0.7634 24.036
0.7648 24.272
0.7658 24.316
0.7668 24.216
0.7680 24.202
0.7696 24.158
0.7721 24.221
0.7743 24.311
0.7759 23.862
0.7765 24.084
0.7785 23.865
0.7787 24.065
0.7788 23.987
0.7788 24.060
0.7812 24.163
0.7813 24.351
0.7876 24.206
0.7893 24.264
0.7897 23.991
0.7905 24.393
0.7910 24.325
0.7910 24.428
0.7911 24.177
0.7926 24.472
0.7948 24.280
0.7959 24.233
0.7961 24.161
0.7963 24.438
0.7976 24.234
0.7999 24.455
0.8009 24.420
0.8032 24.323
0.8045 24.188
0.8052 24.175
0.8074 24.299
0.8098 24.530
0.8117 24.100
0.8142 24.262
0.8154 24.271
0.8172 24.478
0.8176 24.083
0.8181 24.317
0.8191 24.325
0.8199 24.410
0.8200 24.558
0.8232 24.234
0.8234 24.380
0.8253 24.222
0.8257 24.397
0.8259 24.348
0.8268 24.352
0.8271 24.477
0.8278 24.517
0.8288 24.348
